Post title,Post link,Created date,Impressions,Views,Click through rate (CTR),Engagement rate,Count
"New funding opportunity from the Virginia Clean Energy Bank! The Bank's Virginia Grid Reliability Improvement Program (VGRIP) is now accepting applications for projects that enhance the resilience of Virginia’s electrical grid against wildfires, extreme weather, and other natural disasters.

Learn more at https://lnkd.in/eteXq5EF",https://www.linkedin.com/feed/update/urn:li:activity:7256763418076966914,10/28/2024,2204,,2.7%,6.8%,1
"“We don’t need to guess what might work, we already have the technologies to succeed. What we lack are policies that let them compete. ”

In his latest op-ed, Virginia Energy Director Glenn Davis explains how the rigid mandates of the Virginia Clean Economy Act—signed into law this week in 2020—are driving up costs, threatening grid reliability, and sidelining innovation in clean energy technology.

Read the full piece at Cardinal News:
https://lnkd.in/eq-fMUgN

#VCEA #EnergyPolicy #GridReliability #Nuclear #NaturalGas #CCUS #innovation #carboncapture
",https://www.linkedin.com/feed/update/urn:li:activity:7345874316934148096,07/01/2025,1716,,5.5%,6.8%,1
"Virginia continues to strengthen it's role in advancing domestic critical minerals production. We recently visited Atlantic Strategic Minerals (ASM) in Petersburg, part of a select group of U.S. companies working to reestablish domestic production of critical minerals like titanium, zirconium, and rare earth elements—a market long dominated by Chinese producers with major implications for America’s manufacturing and energy sectors. ASM’s low-impact mining efforts are a prime example of how Virginia companies are leading the nation in innovative solutions that strengthen our economy and secure out future. ",https://www.linkedin.com/feed/update/urn:li:activity:7336361461948047362,06/05/2025,1748,,3.5%,6.8%,1
"Virginia Energy geologists like Katie Lang and Jenny Meng help protect our communities by providing environmental consultants and scientists with critical information on groundwater location, mineral resource assessments, and geologic hazards. 

Explore more from our geology team at: https://lnkd.in/eFcN66H5",https://www.linkedin.com/feed/update/urn:li:activity:7245523065550307330,09/27/2024,386,,2.8%,6.7%,1
"There's still time to apply for the Virginia Power Innovation Program! The deadline has been extended to September 15, 2024. Don't miss out on the chance to apply for awards of up to $1 million.  Visit https://lnkd.in/dmGrH57K for application instructions and further details. #VirginiaEnergy #EnergyInnovation",https://www.linkedin.com/feed/update/urn:li:activity:7237497333255471107,09/05/2024,759,,3.3%,6.7%,1
"Once again, Virginia continues to set the pace for national energy leadership. Congratulations to the Northern Virginia Regional Commission for being the first regional organization in the nation to achieve a platinum designation from the SolSmart program. By cutting red tape and making solar more accessible, initiatives like this help drive Virginia’s all-of-the-above energy future built on innovation, affordability, and reliability.

https://lnkd.in/eiZ8cfzG

",https://www.linkedin.com/feed/update/urn:li:activity:7341087594794901504,06/18/2025,845,,3.7%,6.6%,1
"Virginia Energy's Educational Resource Library offers tools to stay informed, connected, and engaged with Virginia’s energy future. From trusted government data sources to K-12 lesson plans, university programs, and industry perspectives, explore how energy powers our lives at https://lnkd.in/eRJC3tbS",https://www.linkedin.com/feed/update/urn:li:activity:7322717560947331073,04/28/2025,664,,4.7%,6.6%,1
"Data centers do much more than support AI; they host cloud applications, manage data storage, and enable critical services across various sectors. Learn more about Virginia’s all-of-the-above approach to ensuring we meet our growing energy demand reliably, affordably, and cleanly. https://lnkd.in/dXYjXhZ3",https://www.linkedin.com/feed/update/urn:li:activity:7275495381239549953,12/19/2024,1435,,3.3%,6.6%,1
"Governor Glenn Youngkin has sent down amendments to a number of energy bills including some that would address the $5.5 billion of Renewable Portfolio Standard (RPS) compliance costs. Unless the amendments are accepted by the General Assembly, every dollar of RPS compliance costs will be passed on to ratepayers in the form of higher energy bills starting this September.",https://www.linkedin.com/feed/update/urn:li:activity:7310432502114869248,03/25/2025,273,,3.7%,6.6%,1
"Virginia Energy is hiring a Water Quality Specialist to support its Mined Land Repurposing (MLR) Program and ensure that mineral resource extraction across the Commonwealth is conducted responsibly. The ideal team member will have extensive knowledge of hydrologic principles, computer mapping, and mineral resource extraction practices.

Join us in shaping Virginia’s safe, reliable, and responsible energy future! Apply now: https://lnkd.in/evUqKX-P
",https://www.linkedin.com/feed/update/urn:li:activity:7362141099110342656,08/15/2025,259,,4.2%,6.6%,1
"Maryland is recognizing the benefits of replacing ""renewable"" with ""clean"" in their energy policies. Virginians would benefit from Virginia doing the same. Virginia Energy remains committed to advancing policies that secure a reliable, affordable, and increasingly clean energy future for all Virginians.
 
https://lnkd.in/eVY-vzUz",https://www.linkedin.com/feed/update/urn:li:activity:7292605281828569088,02/04/2025,1070,,4.1%,6.5%,1
"When people think of nuclear power, they often picture Homer Simpson napping at his console with green ooze everywhere. In reality, today's nuclear power plants don't have solo operators or plutonium paperweights. They're some of the most advanced facilities in the world, with incredibly rigorous safety standards, secure waste storage systems, and passive safety measures that prevent meltdowns.

Fun fact: Your granite countertops give off more radiation than living next door to a nuclear power plant over the course of a year.

More about what The Simpsons got wrong is available from the U.S. Department of Energy at https://lnkd.in/eEKQh2MQ",https://www.linkedin.com/feed/update/urn:li:activity:7329596725713584128,05/17/2025,841,,5.4%,6.5%,1
Virginia Energy brought over $500 million in federal funding back to the Commonwealth to help us better serve our communities! #energywrapped,https://www.linkedin.com/feed/update/urn:li:activity:7277685121225220096,12/25/2024,904,,2.5%,6.5%,1
"Clean energy is built with coal. Virginia produces $2+ billion worth of coal each year, a majority of which is not burned to produce electricity, but is used to manufacture a wide variety of products, like silicon: a crucial component in solar panels.
",https://www.linkedin.com/feed/update/urn:li:activity:7344349089821605888,06/27/2025,1781,,5.1%,6.5%,1
"Virginia's leadership in energy and manufacturing innovation are why companies like Hitachi Energy continue investing here! With a $22.5 million expansion at their Bland and Atkins facilities and 120 jobs on the way, the future of America's energy infrastructure is being built right here in Virginia. It's growth like this that makes us the best state in the nation for business (Glenn Youngkin).",https://www.linkedin.com/feed/update/urn:li:activity:7321865660735660032,04/25/2025,1615,,5.8%,6.5%,1
"Don’t miss your chance to secure up to $10,000 to assess energy resilience and develop a solar-plus-storage hub for your community! This funding empowers localities to strengthen their energy security and access additional grants for implementation. The deadline applications is March 31, 2025, at 5 PM—apply now! 

https://lnkd.in/eAYWPM_s",https://www.linkedin.com/feed/update/urn:li:activity:7308917955218604033,03/21/2025,308,,2.6%,6.5%,1
"While renewable energy is growing rapidly, natural gas remains essential for providing reliable and essential baseload power. Virginia’s ""all-of-the-above"" approach ensures we meet increasing energy demands while transitioning to a cleaner future! Learn more about Virginia’s energy future at https://lnkd.in/dXYjXhZ3",https://www.linkedin.com/feed/update/urn:li:activity:7280276753317605376,01/01/2025,416,,1.4%,6.5%,1
"Nuclear continues to supply over 30% of Virginia's energy capacity and about 20% of the U.S.'s supply of electricity, but more is needed to meet the energy challenges of tomorrow. Virginia is currently facing the fastest growth in energy demand since the years following WWII. Ensuring our thriving economy continues to enjoy reliable, affordable, and increasingly clean energy requires investments in nuclear, natural gas, and renewables as part of an all-of-the-above strategy. 

 Source: https://ow.ly/I7LH50UKyeG",https://www.linkedin.com/feed/update/urn:li:activity:7287578537543229440,01/21/2025,787,,3.6%,6.5%,1
